school.id,school.name,reading.WB,reading.B,reading.At,reading.A,reading.male.WB,reading.male.B,reading.male.At,reading.male.A,reading.female.WB,reading.female.B,reading.female.At,reading.femaleA,reading.maori.WB,reading.maori.B,reading.maori.At,reading.maori.A,reading.pasifica.WB,reading.pasifica.B,reading.pasifica.At,reading.pasifica.A,writing.WB,writing.B,writing.At,writing.A,writing.male.WB,writing.male.B,writing.male.At,writing.male.A,writing.female.WB,writing.female.B,writing.female.At,writing.femaleA,writing.maori.WB,writing.maori.B,writing.maori.At,writing.maori.A,writing.pasifica.WB,writing.pasifica.B,writing.pasifica.At,writing.pasifica.A,math.WB,math.B,math.At,math.A,math.male.WB,math.male.B,math.male.At,math.male.A,math.female.WB,math.female.B,math.female.At,math.femaleA,math.maori.WB,math.maori.B,math.maori.At,math.maori.A,math.pasifica.WB,math.pasifica.B,math.pasifica.At,math.pasifica.A,X,school.name.y,decile.2007,tfea.2007,decile.2008,tfea.2008,decile.change,tfea.change,school.type,authority,local.authority,council,moe.office,electorate,name.discrepancy
5,Kerikeri High School,0.0444,0.234,0.4507,0.2709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0493,0.2931,0.4236,0.234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.198,0.1683,0.3119,0.3218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kerikeri High School,8,P,7,O,-1,-1,Secondary (Year 7-15),State,Far North District,Northland Region,Whangarei,Northland,0
17,Pompallier Catholic College,0.0458,0.2418,0.4771,0.2353,0.1111,0.2593,0.4444,0.1852,0.0658,0.2632,0.4868,0.1842,0.0533,0.2533,0.4533,0.24,0.1429,0.5714,0.1429,0.1429,0.053,0.3245,0.4768,0.1457,0,0.3704,0.5926,0.037,0.0405,0.4324,0.473,0.0541,0.0267,0.2933,0.48,0.2,0,0.7143,0.1429,0.1429,0.0265,0.2517,0.6556,0.0662,0.037,0.3333,0.6296,0,0.0263,0.2105,0.6974,0.0658,0.04,0.3067,0.6133,0.04,0,0.8571,0.1429,0,NA,Pompallier Catholic College,8,P,7,O,-1,-1,Secondary (Year 7-15),State Integrated,Whangarei District,Northland Region,Whangarei,Whangarei,0
24,Mahurangi College,0.0602,0.2068,0.3351,0.3979,0.0909,0.2584,0.3493,0.3014,0.0231,0.1445,0.3179,0.5145,0.093,0.2326,0.3721,0.3023,0.2105,0.4211,0.2632,0.1052,0.0916,0.3901,0.3272,0.1911,0.1435,0.4689,0.2871,0.1005,0.0289,0.2948,0.3757,0.3006,0.1163,0.3721,0.3953,0.1163,0.3158,0.5789,0,0.1053,0.0445,0.3089,0.3508,0.2958,0.0574,0.3445,0.2584,0.3397,0.0289,0.2659,0.4624,0.2428,0.0698,0.3256,0.4419,0.1627,0.2105,0.4737,0.0526,0.2632,NA,Mahurangi College,7,O,8,P,1,1,Secondary (Year 7-15),State,Rodney District,Auckland Region,Auckland North,Rodney,0
25,Orewa College,0.032,0.0585,0.3205,0.589,0.045,0.084,0.3545,0.5165,0.019,0.031,0.2875,0.6625,0.0155,0.1235,0.354,0.507,0,0.2,0.475,0.325,0.025,0.095,0.392,0.488,0.0375,0.157,0.4275,0.378,0.0118,0.0317,0.355,0.6015,0.0225,0.085,0.469,0.4235,0,0.45,0.35,0.2,0.0345,0.1195,0.379,0.467,0.0495,0.139,0.3705,0.441,0.019,0.1005,0.391,0.4895,0.038,0.1535,0.439,0.3695,0.1,0.125,0.575,0.2,NA,Orewa College,8,P,9,Q,1,1,Secondary (Year 7-15),State,Rodney District,Auckland Region,Auckland North,Rodney,0
35,Carmel College,0.0126,0.0714,0.5168,0.3992,NA,NA,NA,NA,NA,NA,NA,NA,0.0526,0.1053,0.4211,0.421,0,0.375,0.375,0.25,0.0169,0.0966,0.5714,0.3151,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1579,0.3684,0.4737,0.125,0.25,0.375,0.25,0,0.1051,0.6092,0.2857,NA,NA,NA,NA,NA,NA,NA,NA,0.1579,0.1579,0.4737,0.2105,0.25,0.125,0.375,0.25,NA,Carmel College,10,Z,10,Z,0,0,Secondary (Year 7-15),State Integrated,North Shore City,Auckland Region,Auckland North,North Shore,0
46,Liston College,0,0.14,0.5295,0.3305,NA,NA,NA,NA,NA,NA,NA,NA,0,0.3165,0.2835,0.4,0,0.241,0.594,0.165,0,0.176,0.5325,0.2915,NA,NA,NA,NA,NA,NA,NA,NA,0,0.3165,0.3335,0.35,0,0.294,0.5425,0.1635,0,0.1015,0.622,0.2765,NA,NA,NA,NA,NA,NA,NA,NA,0,0.15,0.75,0.1,0,0.1595,0.76,0.0805,NA,Liston College,6,N,5,M,-1,-1,Secondary (Year 7-15),State Integrated,Waitakere City,Auckland Region,Auckland North,Te Atatu,0
61,Baradene College,0.0109,0.0362,0.4493,0.5036,NA,NA,NA,NA,0.0109,0.0362,0.4493,0.5036,0,0.0769,0.4615,0.4615,0.0714,0.0714,0.7143,0.1429,0,0.0869,0.4928,0.4203,NA,NA,NA,NA,0,0.0869,0.4928,0.4203,0,0.0769,0.5385,0.3846,0,0.1429,0.7143,0.1429,0.0326,0.0616,0.471,0.4348,NA,NA,NA,NA,0.0326,0.0616,0.471,0.4348,0.0769,0,0.5385,0.3846,0.0714,0.0714,0.6429,0.2143,NA,Baradene College,10,Z,9,Q,-1,-1,Secondary (Year 7-15),State Integrated,Auckland City,Auckland Region,Auckland South,Epsom,0
70,Marist College,0,0.1309,0.6702,0.1989,NA,NA,NA,NA,0,0.1309,0.6702,0.1989,0,0.2308,0.6154,0.1538,0,0.2143,0.7857,0,0.0105,0.1466,0.6911,0.1518,NA,NA,NA,NA,0.0105,0.1466,0.6911,0.1518,0,0.2308,0.7692,0,0.0357,0.1429,0.8214,0,0.0209,0.1152,0.7749,0.089,NA,NA,NA,NA,0.0209,0.1152,0.7749,0.089,0,0.2308,0.7692,0,0,0.2143,0.75,0.0357,NA,Marist College,6,N,7,O,1,1,Secondary (Year 7-15),State Integrated,Auckland City,Auckland Region,Auckland South,Mt Albert,0
82,Aidanfield Christian School,0.0138,0.1379,0.4207,0.4276,0.0135,0.1486,0.473,0.3649,0.0139,0.1111,0.3194,0.5556,0.0909,0,0.5455,0.3636,NA,NA,NA,NA,0.0556,0.1667,0.4167,0.3611,0.0135,0.1486,0.473,0.3649,0.0139,0.1111,0.3194,0.5556,0.0909,0.5455,0.3636,0,NA,NA,NA,NA,0.0208,0.1597,0.2639,0.5556,0.0139,0.1111,0.2222,0.6528,0.0139,0.1667,0.3056,0.5138,0.1818,0,0.3636,0.4545,NA,NA,NA,NA,NA,Canterbury Christian College,7,O,7,O,0,0,Composite (Year 1-15),State Integrated,Christchurch City,Canterbury Region,Christchurch,Wigram,1
106,Tuakau College,0.21,0.41,0.25,0.13,0.25,0.5,0.11,0.14,0.18,0.32,0.39,0.11,0.125,0.5,0.1875,0.1875,0.33,0,0.67,0,0.16,0.5,0.29,0.05,0.286,0.536,0.178,0,0.04,0.46,0.39,0.11,0.125,0.375,0.375,0.125,0,0.33,0.67,0,0.05,0.47,0.3,0.18,0.05,0.41,0.38,0.16,0.05,0.54,0.22,0.19,0,0.394,0.364,0.242,0.33,0.67,0,0,NA,Tuakau College,3,H,4,L,1,4,Secondary (Year 7-15),State,Franklin District,Waikato Region,Auckland South,Port Waikato,0
108,Onewhero Area School,0.08,0.2667,0.4,0.2533,0.0921,0.3158,0.4211,0.1711,0.0676,0.2162,0.3784,0.3378,0.1552,0.3448,0.3103,0.1897,NA,NA,NA,NA,0.1,0.5433,0.2833,0.0733,0.0921,0.4671,0.3684,0.0724,0.1081,0.6216,0.1959,0.0743,0.1552,0.3793,0.4138,0.0517,NA,NA,NA,NA,0.0808,0.3199,0.4916,0.1077,0.0921,0.3224,0.4474,0.1382,0,0.3041,0.5608,0.1351,0.1724,0.2931,0.5,0.0345,NA,NA,NA,NA,NA,Onewhero Area School,6,N,7,O,1,1,Composite (Year 1-15),State,Franklin District,Waikato Region,Auckland South,Port Waikato,0
109,Coromandel Area School,0.16,0.19,0.27,0.38,0.21,0.21,0.28,0.3,0.1,0.16,0.35,0.39,0.24,0.14,0.22,0.4,NA,NA,NA,NA,0.17,0.28,0.44,0.11,0.2,0.25,0.45,0.1,0.16,0.3,0.44,0.1,0.22,0.28,0.39,0.11,NA,NA,NA,NA,0.11,0.47,0.35,0.07,0.14,0.42,0.4,0.04,0.06,0.55,0.33,0.06,0.05,0.58,0.29,0.08,NA,NA,NA,NA,NA,Coromandel Area School,3,I,3,I,0,0,Composite (Year 1-15),State,Thames-Coromandel District,Waikato Region,Hamilton,Coromandel,0
110,Mercury Bay Area School,0,0.1838,0.8162,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.3513,0.6487,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1938,0.8062,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mercury Bay Area School,4,J,6,N,2,4,Composite (Year 1-15),State,Thames-Coromandel District,Waikato Region,Hamilton,Coromandel,0
115,Te Kauwhata College,0.3075,0.0915,0.101,0.5,0.332,0.129,0.08,0.459,0.2705,0.0755,0.122,0.532,0.462,0.0455,0.2085,0.284,1,0,0,0,0.1625,0.2085,0.3875,0.2415,0.2125,0.2705,0.3405,0.1765,0.1185,0.131,0.4015,0.349,0.2655,0.1745,0.515,0.045,0,0,1,0,0.275,0.1315,0.3555,0.238,0.3455,0.093,0.3535,0.208,0.2105,0.1685,0.35,0.271,0.398,0.212,0.2615,0.1285,0,0,1,0,NA,Te Kauwhata College,3,H,5,M,2,5,Secondary (Year 7-15),State,Waikato District,Waikato Region,Hamilton,Port Waikato,0
117,Katikati College,0.14,0.24,0.26,0.36,0.2,0.32,0.24,0.24,0.08,0.16,0.29,0.48,0.1,0.2,0.27,0.43,0.56,0.44,0,0,0.19,0.39,0.29,0.13,0.272,0.463,0.221,0.044,0.11,0.31,0.36,0.22,0.11,0.4,0.32,0.16,0.81,0.19,0,0,0.174,0.381,0.332,0.113,0.21,0.43,0.26,0.1,0.13,0.33,0.41,0.12,0.12,0.39,0.35,0.14,0.63,0.25,0.13,0,NA,Katikati College,6,N,6,N,0,0,Secondary (Year 7-15),State,Western Bay Of Plenty District,Bay of Plenty Region,Rotorua,Coromandel,0
125,Raglan Area School,0.047,0.165,0.481,0.307,0.04,0.184,0.472,0.304,0.057,0.136,0.5,0.307,0.078,0.243,0.496,0.183,NA,NA,NA,NA,0.056,0.282,0.451,0.211,0.073,0.355,0.403,0.169,0.033,0.18,0.517,0.27,0.06,0.357,0.435,0.148,NA,NA,NA,NA,0.058,0.182,0.625,0.135,0.05,0.15,0.642,0.158,0.068,0.228,0.602,0.102,0.072,0.234,0.64,0.054,NA,NA,NA,NA,NA,Raglan Area School,3,I,4,J,1,1,Composite (Year 1-15),State,Waikato District,Waikato Region,Hamilton,Port Waikato,0
134,Flaxmere College,0.045,0.365,0.5,0.09,0,0.273,0.727,0,0.09,0.455,0.273,0.182,0.053,0.368,0.579,0,NA,NA,NA,NA,0,0.727,0.273,0,0,0.636,0.364,0,0,0.818,0.182,0,0,0.737,0.263,0,NA,NA,NA,NA,0,0.772,0.228,0,0,0.909,0.091,0,0,0.636,0.364,0,0,0.842,0.158,0,NA,NA,NA,NA,NA,Flaxmere College,1,A,1,A,0,0,Secondary (Year 7-15),State,Hastings District,Hawkes Bay Region,Napier,Tukituki,0
164,Reporoa College,0.1325,0.236,0.556,0.076,0.199,0.3,0.442,0.059,0.0535,0.173,0.6785,0.0945,0.1415,0.3815,0.477,0,NA,NA,NA,NA,0.18,0.3475,0.395,0.0775,0.32,0.37,0.265,0.045,0.0355,0.3185,0.527,0.119,0.1615,0.2985,0.4185,0.1215,NA,NA,NA,NA,0.078,0.2845,0.4835,0.154,0.1335,0.3545,0.3625,0.1495,0.03,0.2085,0.6035,0.158,0.1265,0.309,0.5005,0.064,NA,NA,NA,NA,NA,Reporoa College,7,O,6,N,-1,-1,Secondary (Year 7-15),State,Rotorua District,Waikato Region,Rotorua,Rotorua,0
174,Sacred Heart Girls' College (N Plymouth),0.0281,0.1573,0.5674,0.2472,NA,NA,NA,NA,0.0281,0.1573,0.5674,0.2472,0.087,0.1739,0.5217,0.2174,0,0,1,0,0.0281,0.2865,0.618,0.0674,NA,NA,NA,NA,0.0281,0.2865,0.618,0.0674,0.0435,0.3913,0.4783,0.0869,0,0,1,0,0.118,0.3483,0.4494,0.0843,NA,NA,NA,NA,0.118,0.3483,0.4494,0.0843,0.1282,0.2308,0.1538,0.4872,0,0.25,0.75,0,NA,Sacred Heart Girls' College (N Plymouth),7,O,8,P,1,1,Secondary (Year 7-15),State Integrated,New Plymouth District,Taranaki Region,Wanganui,New Plymouth,0
175,Francis Douglas Memorial College,0.0188,0.175,0.5125,0.2937,0.0188,0.175,0.5125,0.2937,NA,NA,NA,NA,0,0,0.7143,0.2857,0,0,0.5,0.5,0.0126,0.2138,0.522,0.2516,0.0126,0.2138,0.522,0.2516,NA,NA,NA,NA,0,0.0952,0.6667,0.2381,0,0,0.5,0.5,0.025,0.1625,0.4125,0.4,0.025,0.1625,0.4125,0.4,NA,NA,NA,NA,0,0.1429,0.381,0.4761,0,0,0,1,NA,Francis Douglas Memorial College,8,P,8,P,0,0,Secondary (Year 7-15),State Integrated,New Plymouth District,Taranaki Region,Wanganui,New Plymouth,0
185,Patea Area School,0.275,0.145,0.371,0.209,0.26,0.185,0.333,0.222,0.286,0.114,0.4,0.2,0.241,0.31,0.259,0.19,NA,NA,NA,NA,0.3077,0.3077,0.3077,0.0769,0.346,0.308,0.269,0.077,0.282,0.308,0.333,0.077,0.241,0.352,0.333,0.074,NA,NA,NA,NA,0.308,0.262,0.4,0.03,0.346,0.308,0.346,0,0.283,0.231,0.435,0.051,0.351,0.28,0.333,0.036,NA,NA,NA,NA,NA,Patea Area School,1,A,1,B,0,1,Composite (Year 1-15),State,South Taranaki District,Taranaki Region,Wanganui,Whanganui,0
191,Longburn Adventist College,0.1538,0.2885,0.2885,0.2692,0.2632,0.2632,0.2105,0.2632,0,0.3571,0.0714,0.5714,0,0,0,1,0.25,0.25,0.25,0.25,0.1154,0.4038,0.3462,0.1346,0.2222,0.5,0.1667,0.1111,0.2222,0.5,0.1667,0.1111,0,0,1,0,0,0.625,0.125,0.25,0.0816,0.2245,0.551,0.1429,0.3158,0.2632,0.3684,0.0526,0.1177,0.3529,0.1765,0.3529,0,0,1,0,0,0.375,0.5,0.125,NA,Longburn Adventist College,6,N,6,N,0,0,Secondary (Year 7-15),State Integrated,Manawatu District,Manawatu-Wanganui Region,Wanganui,Rangitikei,0
212,Tolaga Bay Area School,0.07,0.33,0.43,0.17,0.11,0.32,0.44,0.13,0.02,0.33,0.43,0.22,0.08,0.35,0.41,0.16,NA,NA,NA,NA,0.05,0.35,0.57,0.03,0.09,0.35,0.53,0.03,0.02,0.35,0.61,0.02,0.05,0.34,0.54,0.07,NA,NA,NA,NA,0.01,0.36,0.59,0.04,0.02,0.31,0.61,0.06,0,0.43,0.55,0.02,0.01,0.39,0.56,0.04,NA,NA,NA,NA,NA,Tolaga Bay Area School,2,E,2,D,0,-1,Composite (Year 1-15),State,Gisborne District,Gisborne Region,Napier,East Coast,0
214,Wairoa College,0.0515,0.3925,0.4045,0.1515,0.0705,0.4105,0.3655,0.1535,0.031,0.373,0.442,0.154,0.044,0.4305,0.414,0.1115,NA,NA,NA,NA,0.2745,0.4815,0.2145,0.0295,0.2775,0.553,0.1695,0,0.2645,0.414,0.2615,0.06,0.2795,0.5085,0.1955,0.0165,NA,NA,NA,NA,0.2785,0.446,0.198,0.0775,0.2435,0.4805,0.173,0.1025,0.3095,0.406,0.2255,0.059,0.274,0.487,0.168,0.0715,NA,NA,NA,NA,NA,Wairoa College,1,C,2,D,1,1,Secondary (Year 7-15),State,Wairoa District,Hawkes Bay Region,Napier,East Coast,0
220,William Colenso College,0.233,0.333,0.356,0.078,0.326,0.37,0.261,0.043,0.136,0.295,0.455,0.114,0.227,0.379,0.364,0.03,0.182,0.273,0.455,0.09,0.17,0.443,0.33,0.057,0.261,0.522,0.217,0,0.071,0.357,0.452,0.119,0.185,0.446,0.354,0.015,0.1,0.3,0.4,0.2,0.236,0.18,0.472,0.112,0.326,0.109,0.435,0.13,0.14,0.256,0.512,0.093,0.242,0.182,0.485,0.091,0.3,0.1,0.5,0.1,NA,William Colenso College,2,D,2,E,0,1,Secondary (Year 7-15),State,Napier City,Hawkes Bay Region,Napier,Napier,0
224,Iona College,0,0.11,0.21,0.68,NA,NA,NA,NA,0,0.11,0.21,0.68,0,0,0.33,0.67,NA,NA,NA,NA,0.02,0.14,0.55,0.29,NA,NA,NA,NA,0.02,0.14,0.55,0.29,0,0,1,0,NA,NA,NA,NA,0.07,0.23,0.3,0.4,NA,NA,NA,NA,0.07,0.23,0.3,0.4,0,0,1,0,NA,NA,NA,NA,NA,Iona College,10,Z,9,Q,-1,-1,Secondary (Year 7-15),State Integrated,Hastings District,Hawkes Bay Region,Napier,Tukituki,0
225,Woodford House,0,0.155,0.475,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.3,0.59,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.265,0.475,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Woodford House,10,Z,9,Q,-1,-1,Secondary (Year 7-15),State Integrated,Hastings District,Hawkes Bay Region,Napier,Tukituki,0
230,Lindisfarne College,0,0.1,0.3333,0.5667,0,0.1,0.3333,0.5667,NA,NA,NA,NA,0,0.5,0.5,0,NA,NA,NA,NA,0,0.1967,0.5082,0.2951,0,0.1967,0.5082,0.2951,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0.0323,0.0323,0.371,0.5644,0.0323,0.0323,0.371,0.5644,NA,NA,NA,NA,0.5,0,0,0.5,NA,NA,NA,NA,NA,Lindisfarne College,10,Z,10,Z,0,0,Secondary (Year 7-15),State Integrated,Hastings District,Hawkes Bay Region,Napier,Tukituki,0
242,Solway College,0,0,0.61,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.087,0.913,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0435,0.0435,0.913,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Solway College,9,Q,8,P,-1,-1,Secondary (Year 7-15),State Integrated,Masterton District,Wellington Region,Wellington,Wairarapa,0
244,Chanel College,0.139,0.287,0.297,0.277,0.208,0.321,0.245,0.226,0.063,0.25,0.354,0.333,0.211,0.263,0.368,0.158,NA,NA,NA,NA,0.12,0.29,0.32,0.27,0.1732,0.4038,0.1538,0.2692,0.063,0.167,0.5,0.27,0.2,0.267,0.4,0.133,NA,NA,NA,NA,0.1,0.62,0.22,0.06,0.151,0.528,0.245,0.076,0.046,0.704,0.204,0.046,0.214,0.5,0.286,0,NA,NA,NA,NA,NA,Chanel College,6,N,5,M,-1,-1,Secondary (Year 7-15),State Integrated,Masterton District,Wellington Region,Wellington,Wairarapa,0
246,St Matthew's Collegiate (Masterton),0,0.1045,0.246,0.6495,NA,NA,NA,NA,0,0.1045,0.246,0.6495,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2245,0.377,0.3985,NA,NA,NA,NA,0,0.2245,0.377,0.3985,NA,NA,NA,NA,NA,NA,NA,NA,0,0.4615,0.2115,0.327,NA,NA,NA,NA,0,0.4615,0.2115,0.327,NA,NA,NA,NA,NA,NA,NA,NA,NA,St Matthew's Collegiate (Masterton),10,Z,9,Q,-1,-1,Secondary (Year 7-15),State Integrated,Masterton District,Wellington Region,Wellington,Wairarapa,0
265,St Oran's College,0.021,0.028,0.194,0.757,NA,NA,NA,NA,0.021,0.028,0.194,0.757,NA,NA,NA,NA,NA,NA,NA,NA,0.007,0.042,0.514,0.437,NA,NA,NA,NA,0.007,0.042,0.514,0.437,NA,NA,NA,NA,NA,NA,NA,NA,0,0.333,0.375,0.292,NA,NA,NA,NA,0,0.333,0.375,0.292,NA,NA,NA,NA,NA,NA,NA,NA,NA,St Oran's College,10,Z,10,Z,0,0,Secondary (Year 7-15),State Integrated,Lower Hutt City,Wellington Region,Wellington,Hutt South,0
266,Waipa Christian School,0.068,0.159,0.546,0.227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.068,0.296,0.523,0.113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022,0.133,0.667,0.178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bethel Christian School,6,N,6,N,0,0,Full Primary,State Integrated,Waipa District,Waikato Region,Hamilton,Taranaki-King Country,1
290,Collingwood Area School,0,0.1325,0.3976,0.4699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1807,0.5181,0.3012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1085,0.5542,0.3373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Collingwood Area School,6,N,6,N,0,0,Composite (Year 1-15),State,Tasman District,Tasman Region,Nelson,West Coast-Tasman,0
291,Rai Valley Area School,0.0182,0.1273,0.4364,0.4181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0364,0.2182,0.6182,0.1272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0545,0.1818,0.5455,0.2182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rai Valley Area School,5,M,6,N,1,1,Composite (Year 1-15),State,Marlborough District,Marlborough Region,Nelson,Kaikoura,0
299,Murchison Area School,0.061,0.477,0.308,0.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.47,0.39,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.032,0.413,0.492,0.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Murchison Area School,6,N,4,J,-2,-4,Composite (Year 1-15),State,Tasman District,Tasman Region,Nelson,West Coast-Tasman,0
305,Westland High School,0.16,0.185,0.375,0.28,0.235,0.195,0.325,0.245,0.08,0.175,0.425,0.32,0.17,0.18,0.415,0.235,NA,NA,NA,NA,0.295,0.355,0.265,0.085,0.405,0.37,0.18,0.045,0.175,0.335,0.355,0.14,0.295,0.44,0.205,0.055,NA,NA,NA,NA,0.195,0.255,0.275,0.275,0.26,0.28,0.2,0.26,0.13,0.23,0.355,0.285,0.18,0.245,0.34,0.235,NA,NA,NA,NA,NA,Westland High School,4,L,6,N,2,2,Secondary (Year 7-15),State,Westland District,West Coast Region,Nelson,West Coast-Tasman,0
306,South Westland Area School,0.1819,0.1818,0.4545,0.1818,0.2425,0.2424,0.3939,0.1212,0.0909,0.0909,0.5455,0.2727,NA,NA,NA,NA,NA,NA,NA,NA,0.1819,0.2545,0.4,0.1636,0.2425,0.3333,0.3333,0.0909,0.0909,0.1364,0.5,0.2727,NA,NA,NA,NA,NA,NA,NA,NA,0.1818,0.1818,0.4182,0.2182,0.3031,0.1515,0.3333,0.2121,0,0.2273,0.5455,0.2272,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Westland Area School,4,L,4,L,0,0,Composite (Year 1-15),State,Westland District,West Coast Region,Nelson,West Coast-Tasman,0
307,Kaikoura High School,0,0.1525,0.4746,0.3729,0,0.2083,0.5,0.2917,0,0.0323,0.5161,0.4516,0,0.174,0.5217,0.3043,NA,NA,NA,NA,0,0.2728,0.4727,0.2545,0,0.5,0.4167,0.0833,0,0.0968,0.5161,0.3871,0,0.3044,0.5217,0.1739,NA,NA,NA,NA,0,0.1667,0.5208,0.3125,0,0.2728,0.4545,0.2727,0,0.0769,0.5769,0.3462,0,0.1579,0.5789,0.2632,NA,NA,NA,NA,NA,Kaikoura High School,6,N,4,L,-2,-2,Secondary (Year 7-15),State,Kaikoura District,Canterbury Region,Nelson,Kaikoura,0
308,Amuri Area School,0.03,0.15,0.48,0.34,0.03,0.14,0.56,0.27,0.03,0.16,0.39,0.42,0,0.35,0.53,0.12,NA,NA,NA,NA,0.02,0.25,0.58,0.15,0.01,0.3,0.61,0.08,0.03,0.19,0.54,0.24,0,0.59,0.35,0.06,NA,NA,NA,NA,0.01,0.14,0.69,0.16,0,0.18,0.66,0.16,0.03,0.09,0.73,0.15,0,0.17,0.71,0.12,NA,NA,NA,NA,NA,Amuri Area School,8,P,8,P,0,0,Composite (Year 1-15),State,Hurunui District,Canterbury Region,Christchurch,Kaikoura,0
310,Oxford Area School,0.0845,0.1149,0.3952,0.4054,0.1216,0.1149,0.4257,0.3378,0.053,0.1125,0.3709,0.4636,0.1739,0.1739,0.2609,0.3913,NA,NA,NA,NA,0.1003,0.3077,0.4749,0.1171,0.137,0.3288,0.411,0.1232,0.0654,0.281,0.5425,0.1111,0.2175,0.3043,0.3043,0.1739,NA,NA,NA,NA,0.0705,0.1711,0.5067,0.2517,0.0725,0.2536,0.3913,0.2826,0.0724,0.0789,0.6053,0.2434,0.1304,0.2174,0.4783,0.1739,NA,NA,NA,NA,NA,Oxford Area School,7,O,7,O,0,0,Composite (Year 1-15),State,Waimakariri District,Canterbury Region,Christchurch,Waimakariri,0
311,Hurunui College,0.047,0.242,0.445,0.266,0.06,0.28,0.42,0.24,0.02,0.19,0.51,0.28,0.1,0.3,0.5,0.1,NA,NA,NA,NA,0.094,0.43,0.43,0.046,0.13,0.44,0.39,0.04,0.04,0.46,0.41,0.09,0.1,0.7,0.1,0.1,NA,NA,NA,NA,0.047,0.234,0.516,0.203,0.05,0.22,0.5,0.23,0.06,0.28,0.49,0.17,0.1,0.5,0.4,0,NA,NA,NA,NA,NA,Hurunui College,6,N,7,O,1,1,Composite (Year 1-15),State,Hurunui District,Canterbury Region,Christchurch,Kaikoura,0
317,Christchurch Adventist School,0.0225,0.1348,0.6292,0.2135,0.0222,0.1333,0.6667,0.1778,0.0227,0.1364,0.5909,0.25,NA,NA,NA,NA,NA,NA,NA,NA,0.0127,0.1772,0.7089,0.1013,0,0.2051,0.7179,0.0769,0.025,0.15,0.7,0.125,NA,NA,NA,NA,NA,NA,NA,NA,0.037,0.3056,0.5556,0.1018,0.0189,0.283,0.566,0.1321,0.0545,0.3273,0.5455,0.0727,NA,NA,NA,NA,NA,NA,NA,NA,NA,Christchurch Adventist School,7,O,6,N,-1,-1,Composite (Year 1-15),State Integrated,Christchurch City,Canterbury Region,Christchurch,Christchurch Central,0
