school.id,school.name,reading.WB,reading.B,reading.At,reading.A,reading.male.WB,reading.male.B,reading.male.At,reading.male.A,reading.female.WB,reading.female.B,reading.female.At,reading.femaleA,reading.maori.WB,reading.maori.B,reading.maori.At,reading.maori.A,reading.pasifica.WB,reading.pasifica.B,reading.pasifica.At,reading.pasifica.A,writing.WB,writing.B,writing.At,writing.A,writing.male.WB,writing.male.B,writing.male.At,writing.male.A,writing.female.WB,writing.female.B,writing.female.At,writing.femaleA,writing.maori.WB,writing.maori.B,writing.maori.At,writing.maori.A,writing.pasifica.WB,writing.pasifica.B,writing.pasifica.At,writing.pasifica.A,math.WB,math.B,math.At,math.A,math.male.WB,math.male.B,math.male.At,math.male.A,math.female.WB,math.female.B,math.female.At,math.femaleA,math.maori.WB,math.maori.B,math.maori.At,math.maori.A,math.pasifica.WB,math.pasifica.B,math.pasifica.At,math.pasifica.A,X,school.name.y,decile.2007,tfea.2007,decile.2008,tfea.2008,decile.change,tfea.change,school.type,authority,local.authority,council,moe.office,electorate,name.discrepancy
1204,Anchorage Park School,0.0087,0.1217,0.4696,0.4,0,0.1509,0.5283,0.3208,0,0.1129,0.4194,0.4677,0,0.0769,0.6154,0.3077,0,0.1481,0.4815,0.3704,0.0087,0.1739,0.6783,0.1391,0,0.1698,0.717,0.1132,0,0.1935,0.5968,0.2097,0,0.2308,0.6923,0.0769,0,0.1852,0.6296,0.1852,0.0087,0.1913,0.5913,0.2087,0,0.1321,0.5472,0.3208,0.0161,0.2419,0.5645,0.1774,0,0.1924,0.6538,0.1538,0,0.2963,0.6296,0.0741,NA,Anchorage Park School,4,K,4,L,0,1,Contributing,State,Manukau City,Auckland Region,Auckland South,Pakuranga,0
1206,Arahoe School,0.039,0.268,0.418,0.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.105,0.28,0.541,0.074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026,0.14,0.538,0.296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arahoe School,5,M,5,M,0,0,Contributing,State,Waitakere City,Auckland Region,Auckland North,New Lynn,0
1211,Auckland Normal Intermediate,0.005,0.07,0.38,0.545,0,0.1,0.4,0.5,0.01,0.04,0.36,0.59,0,0,0.785,0.215,0,0.25,0.54,0.21,0.015,0.17,0.48,0.335,0.01,0.22,0.33,0.44,0.02,0.12,0.63,0.23,0.035,0.14,0.64,0.185,0.07,0.23,0.52,0.18,0.01,0.1,0.395,0.495,0.01,0.11,0.45,0.43,0.01,0.09,0.34,0.56,0.01,0.21,0.6,0.18,0.055,0.235,0.6,0.11,NA,Auckland Normal Intermediate,10,Z,9,Q,-1,-1,Intermediate,State,Auckland City,Auckland Region,Auckland South,Epsom,0
1215,Sir Douglas Bader Intermediate School,0.442,0.301,0.106,0.15,0.492,0.297,0.085,0.127,0.389,0.305,0.13,0.176,0.4,0.371,0.114,0.114,0.458,0.294,0.113,0.136,0.376,0.354,0.168,0.102,0.441,0.356,0.127,0.076,0.306,0.352,0.213,0.129,0.371,0.429,0.143,0.057,0.39,0.373,0.13,0.107,0.367,0.314,0.164,0.155,0.424,0.288,0.119,0.169,0.306,0.342,0.213,0.139,0.4,0.428,0.086,0.086,0.373,0.294,0.181,0.152,NA,Sir Douglas Bader Intermediate School,1,B,1,C,0,1,Intermediate,State,Manukau City,Auckland Region,Auckland South,Mangere,0
1217,Sir Edmund Hillary Collegiate Middle Sch,0.623,0.2725,0.1045,0,0.5165,0.42,0.0635,0,0.4975,0.3705,0.132,0,0.4405,0.4325,0.127,0,0.52,0.355,0.125,0,0.58,0.345,0.075,0,0.56,0.325,0.115,0,0.535,0.385,0.08,0,0.5,0.3,0.2,0,0.595,0.345,0.06,0,0.59,0.325,0.085,0,0.663,0.297,0.04,0,0.475,0.3715,0.1535,0,0.4795,0.4045,0.116,0,0.624,0.298,0.078,0,NA,Sir Edmund Hillary Collegiate Middle Sch,1,A,1,A,0,0,Intermediate,State,Manukau City,Auckland Region,Auckland South,Manukau East,0
1218,Bairds Mainfreight Primary School,0.165,0.064,0.353,0.418,0.24,0.1,0.25,0.41,0.15,0.08,0.31,0.46,0.145,0.132,0.289,0.434,0.175,0.041,0.376,0.408,0.14,0.19,0.62,0.05,0.18,0.22,0.57,0.02,0.09,0.15,0.68,0.08,0.13,0.37,0.38,0.13,0.15,0.13,0.7,0.01,0.27,0.17,0.45,0.11,0.25,0.17,0.49,0.1,0.293,0.164,0.414,0.129,0.31,0.13,0.4,0.16,0.27,0.18,0.46,0.09,NA,Bairds Mainfreight Primary School,1,A,1,B,0,1,Contributing,State,Manukau City,Auckland Region,Auckland South,Manukau East,0
1219,Balmoral School (Auckland),0.059,0.127,0.401,0.414,0.058,0.169,0.38,0.393,0.059,0.084,0.422,0.435,0.073,0.293,0.341,0.293,0.141,0.205,0.474,0.179,0.057,0.186,0.575,0.182,0.066,0.251,0.536,0.147,0.049,0.119,0.616,0.216,0.049,0.317,0.537,0.097,0.103,0.269,0.564,0.064,0.051,0.21,0.497,0.242,0.053,0.224,0.454,0.269,0.049,0.195,0.541,0.215,0.073,0.439,0.317,0.171,0.103,0.372,0.41,0.115,NA,Balmoral School (Auckland),8,P,9,Q,1,1,Full Primary,State,Auckland City,Auckland Region,Auckland South,Mt Albert,0
1220,Bayfield School,0,0.06,0.25,0.69,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.27,0.73,0,0.3,0.3,0.4,0,0.17,0.56,0.27,NA,NA,NA,NA,NA,NA,NA,NA,0,0.27,0.73,0,0,0.38,0.53,0.09,0,0.1,0.5,0.4,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.73,0.27,0,0.38,0.46,0.16,NA,Bayfield School,10,Z,10,Z,0,0,Contributing,State,Auckland City,Auckland Region,Auckland South,Auckland Central,0
1221,Bayswater School,0.02,0.13,0.45,0.4,0.04,0.16,0.43,0.37,0,0.11,0.47,0.42,0.04,0.125,0.46,0.375,0,0.25,0.5,0.25,0.02,0.2,0.64,0.14,0.04,0.25,0.63,0.08,0,0.14,0.66,0.2,0.04,0.21,0.58,0.17,0,0.42,0.58,0,0.02,0.2,0.6,0.18,0.036,0.157,0.578,0.229,0,0.26,0.62,0.12,0.04,0.125,0.71,0.125,0,0.33,0.67,0,NA,Bayswater School,9,Q,9,Q,0,0,Contributing,State,North Shore City,Auckland Region,Auckland North,North Shore,0
1222,Bayview School,0.0435,0.1087,0.4783,0.3696,0.0473,0.1243,0.4852,0.3432,0.0392,0.0915,0.4706,0.3987,0.0909,0.1455,0.4727,0.2909,0.1111,0.1852,0.4444,0.2593,0.0466,0.205,0.6025,0.146,0.0563,0.2313,0.5688,0.1438,0.037,0.179,0.6358,0.1481,0.0755,0.283,0.4903,0.1509,0.1111,0.2593,0.5926,0.037,0.0342,0.1273,0.6056,0.2329,0.026,0.1364,0.5584,0.2792,0.0419,0.1198,0.6527,0.1856,0.0567,0.1509,0.5849,0.2075,0.1481,0.2222,0.5556,0.0741,NA,Bayview School,7,O,7,O,0,0,Contributing,State,North Shore City,Auckland Region,Auckland North,East Coast Bays,0
