Decile Change 2014 to 2015 for State & State Integrated Schools,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Inst #,School Name,2014 Decile,"2014 Step",2015 Decile,"2015  Step",Decile Change,Step Change,"July 2014 Funding roll Years 9+","July 2014 Funding roll Total ",School Type,Authority,Territorial Local Authority,Regional Council,Ministry of Education Local Office,General Electorate,M_ori Electorate
352,Geraldine High School,8,P,8,P,0,0,375,540,Secondary (Year 7-15),State,Timaru District,Canterbury Region,Christchurch,Waitaki,Te Tai Tonga
2107,Geraldine Primary School,8,P,8,P,0,0,0,334,Contributing,State,Timaru District,Canterbury Region,Christchurch,Waitaki,Te Tai Tonga
3346,Gilberthorpe School,2,D,2,E,0,1,0,132,Contributing,State,Christchurch City,Canterbury Region,Christchurch,Wigram,Te Tai Tonga
209,Gisborne Boys' High School,3,G,3,H,0,1,767,767,Secondary (Year 9-15),State,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
2564,Gisborne Central School,7,O,6,N,-1,-1,0,379,Contributing,State,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
210,Gisborne Girls' High School,3,I,3,H,0,-1,793,793,Secondary (Year 9-15),State,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
2566,Gisborne Intermediate,4,K,4,K,0,0,0,600,Intermediate,State,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
1282,Gladstone School (Auckland),8,P,9,Q,1,1,0,879,Contributing,State,Auckland- Albert-Eden,Auckland Region,Auckland South,Mt Albert,Tamaki Makaurau
2845,Gladstone School (Masterton),7,O,9,Q,2,2,0,108,Full Primary,State,Carterton District,Wellington Region,Wellington,Wairarapa,Ikaroa-Rawhiti
1283,Glamorgan School,10,Z,10,Z,0,0,0,500,Contributing,State,Auckland- Hibiscus and Bays,Auckland Region,Auckland North,East Coast Bays,Te Tai Tokerau
1284,Glen Eden Intermediate,8,P,7,O,-1,-1,0,1005,Intermediate,State,Auckland- Waitakere Ranges,Auckland Region,Auckland North,Kelston,Tamaki Makaurau
1285,Glen Eden School,4,J,3,G,-1,-3,0,375,Contributing,State,Auckland- Waitakere Ranges,Auckland Region,Auckland North,Kelston,Tamaki Makaurau
1287,Glen Innes School,1,A,1,A,0,0,0,209,Full Primary,State,Auckland- Maungakiekie-Tamaki,Auckland Region,Auckland South,Tamaki,Tamaki Makaurau
1723,Glen Massey School,5,M,5,M,0,0,0,102,Full Primary,State,Waikato District,Waikato Region,Hamilton,Taranaki-King Country,Hauraki-Waikato
2360,Glen Oroua School,9,Q,9,Q,0,0,0,62,Full Primary,State,Manawatu District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
1289,Glen Taylor School,1,A,1,B,0,1,0,236,Full Primary,State,Auckland- Orakei,Auckland Region,Auckland South,Tamaki,Tamaki Makaurau
1290,Glenavon School,2,F,1,C,-1,-3,0,226,Full Primary,State,Auckland- Whau,Auckland Region,Auckland South,New Lynn,Tamaki Makaurau
3348,Glenavy School,9,Q,7,O,-2,-2,0,89,Full Primary,State,Waimate District,Canterbury Region,Christchurch,Waitaki,Te Tai Tonga
1011,Glenbervie School,7,O,8,P,1,1,0,262,Contributing,State,Whangarei District,Northland Region,Whangarei,Whangarei,Te Tai Tokerau
1291,Glenbrae Primary School,1,A,1,A,0,0,0,187,Full Primary,State,Auckland- Maungakiekie-Tamaki,Auckland Region,Auckland South,Tamaki,Tamaki Makaurau
1292,Glenbrook School,8,P,7,O,-1,-1,0,256,Full Primary,State,Auckland- Franklin,Auckland Region,Auckland South,Hunua,Hauraki-Waikato
1293,Glendene School,3,H,2,F,-1,-2,0,149,Contributing,State,Auckland- Henderson-Massey,Auckland Region,Auckland North,Kelston,Te Tai Tokerau
65,Glendowie College,9,Q,10,Z,1,1,1028,1028,Secondary (Year 9-15),State,Auckland- Orakei,Auckland Region,Auckland South,Tamaki,Tamaki Makaurau
1294,Glendowie School,9,Q,10,Z,1,1,0,620,Full Primary,State,Auckland- Orakei,Auckland Region,Auckland South,Tamaki,Tamaki Makaurau
30,Glenfield College,7,O,6,N,-1,-1,612,612,Secondary (Year 9-15),State,Auckland- Kaipatiki,Auckland Region,Auckland North,Northcote,Te Tai Tokerau
1295,Glenfield Intermediate,6,N,6,N,0,0,0,320,Intermediate,State,Auckland- Kaipatiki,Auckland Region,Auckland North,Upper Harbour,Te Tai Tokerau
1296,Glenfield Primary School,6,N,5,M,-1,-1,0,276,Contributing,State,Auckland- Kaipatiki,Auckland Region,Auckland North,Northcote,Te Tai Tokerau
3954,Glenham School,7,O,8,P,1,1,0,23,Contributing,State,Southland District,Southland Region,Invercargill,Invercargill,Te Tai Tonga
1724,Glenholme School,3,H,3,H,0,0,0,326,Contributing,State,Rotorua District,Bay of Plenty Region,Rotorua,Rotorua,Waiariki
3347,Gleniti School,10,Z,9,Q,-1,-1,0,297,Full Primary,State,Timaru District,Canterbury Region,Christchurch,Rangitata,Te Tai Tonga
3955,Glenorchy School,9,Q,7,O,-2,-2,0,32,Full Primary,State,Queenstown-Lakes District,Otago Region,Dunedin,Clutha-Southland,Te Tai Tonga
3352,Glentunnel School,4,J,7,O,3,5,0,113,Contributing,State,Selwyn District,Canterbury Region,Christchurch,Selwyn,Te Tai Tonga
1725,Glenview School (Hamilton),5,M,5,M,0,0,0,413,Contributing,State,Hamilton City,Waikato Region,Hamilton,Hamilton West,Hauraki-Waikato
2847,Glenview School (Porirua East),1,B,1,B,0,0,0,75,Contributing,State,Porirua City,Wellington Region,Wellington,Mana,Te Tai Hauauru
292,Golden Bay High School,6,N,6,N,0,0,212,316,Secondary (Year 7-15),State,Tasman District,Tasman Region,Nelson,West Coast-Tasman,Te Tai Tonga
6070,Golden Sands School,5,M,9,Q,4,4,0,319,Contributing,State,Tauranga City,Bay of Plenty Region,Rotorua,Bay of Plenty,Waiariki
3741,Goldfields School (Cromwell),7,O,8,P,1,1,0,229,Contributing,State,Central Otago District,Otago Region,Dunedin,Waitaki,Te Tai Tonga
1726,Goldfields School (Paeroa),3,I,3,I,0,0,30,58,Special School,State,Hauraki District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
2361,Gonville School,2,E,2,E,0,0,0,127,Contributing,State,Wanganui District,Manawatu-Wanganui Region,Whanganui,Whanganui,Te Tai Hauauru
1297,Good Shepherd School (Balmoral),8,P,7,O,-1,-1,0,227,Contributing,State: Integrated,Auckland- Albert-Eden,Auckland Region,Auckland South,Mt Albert,Tamaki Makaurau
1727,Goodwood School,9,Q,10,Z,1,1,0,309,Contributing,State,Waipa District,Waikato Region,Hamilton,Waikato,Hauraki-Waikato
1728,Gordonton School,8,P,9,Q,1,1,0,246,Full Primary,State,Waikato District,Waikato Region,Hamilton,Waikato,Hauraki-Waikato
396,Gore High School,6,N,6,N,0,0,527,527,Secondary (Year 9-15),State,Gore District,Southland Region,Invercargill,Clutha-Southland,Te Tai Tonga
3956,Gore Main School,6,N,7,O,1,1,0,223,Contributing,State,Gore District,Southland Region,Invercargill,Clutha-Southland,Te Tai Tonga
3957,Gorge Road School,8,P,9,Q,1,1,0,52,Full Primary,State,Southland District,Southland Region,Invercargill,Invercargill,Te Tai Tonga
3354,Governors Bay School,10,Z,10,Z,0,0,0,53,Full Primary,State,Christchurch City,Canterbury Region,Christchurch,Selwyn,Te Tai Tonga
2848,Gracefield School,4,L,5,M,1,1,0,230,Contributing,State,Lower Hutt City,Wellington Region,Wellington,Hutt South,Te Tai Tonga
3192,Granity School,3,I,3,G,0,-2,0,50,Full Primary,State,Buller District,West Coast Region,Nelson,West Coast-Tasman,Te Tai Tonga
2111,Grantlea Downs School,4,K,5,M,1,2,0,388,Full Primary,State,Timaru District,Canterbury Region,Christchurch,Rangitata,Te Tai Tonga
3742,Grants Braes School,10,Z,10,Z,0,0,0,180,Contributing,State,Dunedin City,Otago Region,Dunedin,Dunedin South,Te Tai Tonga
42,Green Bay High School,8,P,8,P,0,0,1292,1292,Secondary (Year 9-15),State,Auckland- Whau,Auckland Region,Auckland North,New Lynn,Tamaki Makaurau
1298,Green Bay Primary School,7,O,7,O,0,0,0,508,Full Primary,State,Auckland- Whau,Auckland Region,Auckland North,New Lynn,Tamaki Makaurau
3743,Green Island School,4,L,6,N,2,2,0,198,Full Primary,State,Dunedin City,Otago Region,Dunedin,Dunedin South,Te Tai Tonga
2849,Greenacres School,9,Q,9,Q,0,0,0,194,Contributing,State,Wellington City,Wellington Region,Wellington,Mana,Te Tai Hauauru
3357,Greendale School,9,Q,10,Z,1,1,0,27,Contributing,State,Selwyn District,Canterbury Region,Christchurch,Selwyn,Te Tai Tonga
1299,Greenhithe School,10,Z,10,Z,0,0,0,528,Contributing,State,Auckland- Upper Harbour,Auckland Region,Auckland North,Upper Harbour,Te Tai Tokerau
1300,Greenmeadows Intermediate,3,G,2,D,-1,-3,0,351,Intermediate,State,Auckland- Manurewa,Auckland Region,Auckland South,Manurewa,Tamaki Makaurau
2567,Greenmeadows School,7,O,7,O,0,0,0,422,Contributing,State,Napier City,Hawkes Bay Region,Napier,Napier,Ikaroa-Rawhiti
1729,Greenpark School (Tauranga),6,N,5,M,-1,-1,0,812,Contributing,State,Tauranga City,Bay of Plenty Region,Rotorua,Tauranga,Waiariki
1730,Greerton Village School,2,E,2,F,0,1,0,347,Contributing,State,Tauranga City,Bay of Plenty Region,Rotorua,Tauranga,Waiariki
3359,Greta Valley School,9,Q,5,M,-4,-4,0,34,Full Primary,State,Hurunui District,Canterbury Region,Christchurch,Kaikoura,Te Tai Tonga
1301,Grey Lynn School,7,O,9,Q,2,2,0,354,Contributing,State,Auckland- Waitemata,Auckland Region,Auckland South,Mt Albert,Tamaki Makaurau
303,Greymouth High School,4,L,6,N,2,2,474,474,Secondary (Year 9-15),State,Grey District,West Coast Region,Nelson,West Coast-Tasman,Te Tai Tonga
3361,Greymouth Main School,5,M,6,N,1,1,0,346,Full Primary,State,Grey District,West Coast Region,Nelson,West Coast-Tasman,Te Tai Tonga
2850,Greytown School,6,N,8,P,2,2,0,341,Full Primary,State,South Wairarapa District,Wellington Region,Wellington,Wairarapa,Ikaroa-Rawhiti
2851,Grovetown School,7,O,7,O,0,0,0,46,Contributing,State,Marlborough District,Marlborough Region,Nelson,Kaikoura,Te Tai Tonga
6920,Gulf Harbour School,10,Z,10,Z,0,0,0,380,Full Primary,State,Auckland- Hibiscus and Bays,Auckland Region,Auckland North,Rodney,Te Tai Tokerau
3363,Haast School,3,H,8,P,5,8,0,18,Full Primary,State,Westland District,West Coast Region,Nelson,West Coast-Tasman,Te Tai Tonga
4104,Hadlow Preparatory School,8,P,9,Q,1,1,0,189,Full Primary,State: Integrated,Masterton District,Wellington Region,Wellington,Wairarapa,Ikaroa-Rawhiti
336,Hagley Community College,5,M,6,N,1,1,1891,1891,Secondary (Year 9-15),State,Christchurch City,Canterbury Region,Christchurch,Christchurch Central,Te Tai Tonga
2362,Halcombe Primary School,7,O,8,P,1,1,0,152,Full Primary,State,Manawatu District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
3961,Halfmoon Bay School,4,L,5,M,1,1,0,23,Full Primary,State,Southland District,Southland Region,Invercargill,Invercargill,Te Tai Tonga
3745,Halfway Bush School,4,K,3,I,-1,-2,0,50,Contributing,State,Dunedin City,Otago Region,Dunedin,Dunedin North,Te Tai Tonga
1302,Halsey Drive School,9,Q,7,O,-2,-2,0,487,Contributing,State,Auckland- Puketapapa,Auckland Region,Auckland South,Mt Roskill,Tamaki Makaurau
522,Halswell Residential College,2,F,3,H,1,2,16,22,Special School,State,Christchurch City,Canterbury Region,Christchurch,Wigram,Te Tai Tonga
3366,Halswell School,10,Z,10,Z,0,0,0,550,Full Primary,State,Christchurch City,Canterbury Region,Christchurch,Port Hills,Te Tai Tonga
131,Hamilton Boys' High School,8,P,7,O,-1,-1,2150,2150,Secondary (Year 9-15),State,Hamilton City,Waikato Region,Hamilton,Hamilton East,Hauraki-Waikato
1731,Hamilton East School,4,K,4,J,0,-1,0,356,Contributing,State,Hamilton City,Waikato Region,Hamilton,Hamilton East,Hauraki-Waikato
132,Hamilton Girls' High School,6,N,6,N,0,0,1604,1604,Secondary (Year 9-15),State,Hamilton City,Waikato Region,Hamilton,Hamilton West,Hauraki-Waikato
1942,Hamilton Junior High School,4,K,3,I,-1,-2,44,121,Restricted Composite (Year 7-10),State,Hamilton City,Waikato Region,Hamilton,Hamilton West,Hauraki-Waikato
1732,Hamilton North School,3,I,4,J,1,1,62,120,Special School,State,Hamilton City,Waikato Region,Hamilton,Hamilton West,Hauraki-Waikato
4105,Hamilton Seventh-Day Adventist School,7,O,6,N,-1,-1,0,51,Full Primary,State: Integrated,Waikato District,Waikato Region,Hamilton,Waikato,Hauraki-Waikato
1733,Hamilton West School,6,N,5,M,-1,-1,0,538,Full Primary,State,Hamilton City,Waikato Region,Hamilton,Hamilton West,Hauraki-Waikato
3746,Hampden School,5,M,4,L,-1,-1,0,37,Full Primary,State,Waitaki District,Otago Region,Dunedin,Dunedin North,Te Tai Tonga
3193,Hampden Street School,7,O,6,N,-1,-1,0,431,Contributing,State,Nelson City,Nelson Region,Nelson,Nelson,Te Tai Tonga
3367,Hampstead School,4,J,4,K,0,1,0,349,Contributing,State,Ashburton District,Canterbury Region,Christchurch,Rangitata,Te Tai Tonga
2852,Hampton Hill School,6,N,6,N,0,0,0,147,Contributing,State,Wellington City,Wellington Region,Wellington,Ohariu,Te Tai Hauauru
3368,Hanmer Springs School,9,Q,9,Q,0,0,0,102,Full Primary,State,Hurunui District,Canterbury Region,Christchurch,Kaikoura,Te Tai Tonga
3369,Hapuku School,4,K,2,E,-2,-6,0,30,Full Primary,State,Kaikoura District,Canterbury Region,Nelson,Kaikoura,Te Tai Tonga
4204,Hare Krishna School,5,M,5,M,0,0,0,88,Full Primary,State: Integrated,Auckland- Rodney,Auckland Region,Auckland North,Helensville,Te Tai Tokerau
3370,Harewood School,8,P,8,P,0,0,0,181,Contributing,State,Christchurch City,Canterbury Region,Christchurch,Ilam,Te Tai Tonga
1303,Harrisville School,5,M,5,M,0,0,0,188,Contributing,State,Waikato District,Waikato Region,Auckland South,Waikato,Hauraki-Waikato
227,Hastings Boys' High School,2,D,2,F,0,2,656,656,Secondary (Year 9-15),State,Hastings District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
2569,Hastings Central School,2,F,2,E,0,-1,0,177,Contributing,State,Hastings District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
443,Hastings Christian School,7,O,7,O,0,0,100,219,Composite (Year 1-15),State: Integrated,Hastings District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
228,Hastings Girls' High School,2,F,3,G,1,1,804,804,Secondary (Year 9-15),State,Hastings District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
2570,Hastings Intermediate,2,E,3,H,1,3,0,529,Intermediate,State,Hastings District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
2854,Hataitai School,10,Z,10,Z,0,0,0,336,Full Primary,State,Wellington City,Wellington Region,Wellington,Rongotai,Te Tai Tonga
2706,Hatea-A-Rangi,1,A,2,D,1,3,0,36,Full Primary,State,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
199,Hato Paora College,3,G,4,J,1,3,81,81,Secondary (Year 9-15),State: Integrated,Manawatu District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
33,Hato Petera College,2,F,3,G,1,1,105,105,Secondary (Year 9-15),State: Integrated,Auckland- Kaipatiki,Auckland Region,Auckland North,Northcote,Te Tai Tokerau
2571,Haumoana School,7,O,7,O,0,0,0,159,Contributing,State,Hastings District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
112,Hauraki Plains College,6,N,5,M,-1,-1,628,628,Secondary (Year 9-15),State,Hauraki District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
1304,Hauraki School,10,Z,10,Z,0,0,0,423,Contributing,State,Auckland- Devonport-Takapuna,Auckland Region,Auckland North,North Shore,Te Tai Tokerau
3938,Hauroko Valley Primary School,8,P,7,O,-1,-1,0,57,Contributing,State,Southland District,Southland Region,Invercargill,Clutha-Southland,Te Tai Tonga
1735,Hautapu School,10,Z,10,Z,0,0,0,205,Full Primary,State,Waipa District,Waikato Region,Hamilton,Taupo,Hauraki-Waikato
1736,Hauturu School,3,H,2,E,-1,-3,0,32,Full Primary,State,Otorohanga District,Waikato Region,Hamilton,Taranaki-King Country,Te Tai Hauauru
223,Havelock North High School,9,Q,8,P,-1,-1,845,845,Secondary (Year 9-15),State,Hastings District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
2572,Havelock North Intermediate,8,P,8,P,0,0,0,490,Intermediate,State,Hastings District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
2573,Havelock North Primary School,10,Z,9,Q,-1,-1,0,477,Contributing,State,Hastings District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
2855,Havelock School,7,O,5,M,-2,-2,0,55,Full Primary,State,Marlborough District,Marlborough Region,Nelson,Kaikoura,Te Tai Tonga
3747,Hawea Flat School,10,Z,10,Z,0,0,0,169,Contributing,State,Queenstown-Lakes District,Otago Region,Dunedin,Waitaki,Te Tai Tonga
1184,Hawera Christian School,6,N,6,N,0,0,0,29,Full Primary,State: Integrated,South Taranaki District,Taranaki Region,Whanganui,Whanganui,Te Tai Hauauru
182,Hawera High School,5,M,5,M,0,0,746,746,Secondary (Year 9-15),State,South Taranaki District,Taranaki Region,Whanganui,Whanganui,Te Tai Hauauru
2170,Hawera Intermediate,5,M,5,M,0,0,0,317,Intermediate,State,South Taranaki District,Taranaki Region,Whanganui,Whanganui,Te Tai Hauauru
2171,Hawera Primary School,4,L,4,K,0,-1,0,229,Contributing,State,South Taranaki District,Taranaki Region,Whanganui,Whanganui,Te Tai Hauauru
1305,Hay Park School,2,E,1,C,-1,-2,0,166,Contributing,State,Auckland- Puketapapa,Auckland Region,Auckland South,Mt Roskill,Tamaki Makaurau
3371,Heathcote Valley School,9,Q,9,Q,0,0,0,248,Full Primary,State,Christchurch City,Canterbury Region,Christchurch,Port Hills,Te Tai Tonga
3372,Heaton Normal Intermediate,9,Q,9,Q,0,0,0,520,Intermediate,State,Christchurch City,Canterbury Region,Christchurch,Ilam,Te Tai Tonga
3963,Heddon Bush School,8,P,9,Q,1,1,0,49,Full Primary,State,Southland District,Southland Region,Invercargill,Clutha-Southland,Te Tai Tonga
3964,Hedgehope School,7,O,10,Z,3,3,0,24,Full Primary,State,Southland District,Southland Region,Invercargill,Invercargill,Te Tai Tonga
1306,Helensville School,5,M,5,M,0,0,0,438,Full Primary,State,Auckland- Rodney,Auckland Region,Auckland North,Helensville,Te Tai Tokerau
45,Henderson High School,4,L,3,I,-1,-3,609,609,Secondary (Year 9-15),State,Auckland- Henderson-Massey,Auckland Region,Auckland North,Te Atatu,Te Tai Tokerau
1307,Henderson Intermediate,3,H,3,H,0,0,0,540,Intermediate,State,Auckland- Henderson-Massey,Auckland Region,Auckland North,Te Atatu,Te Tai Tokerau
1308,Henderson North School,3,H,3,H,0,0,0,432,Contributing,State,Auckland- Henderson-Massey,Auckland Region,Auckland North,Te Atatu,Te Tai Tokerau
1309,Henderson School,3,H,3,H,0,0,0,169,Contributing,State,Auckland- Henderson-Massey,Auckland Region,Auckland North,Te Atatu,Te Tai Tokerau
1310,Henderson South School,2,D,2,E,0,1,0,293,Contributing,State,Auckland- Henderson-Massey,Auckland Region,Auckland North,Te Atatu,Te Tai Tokerau
1311,Henderson Valley School,5,M,4,L,-1,-1,0,388,Contributing,State,Auckland- Waitakere Ranges,Auckland Region,Auckland North,Helensville,Tamaki Makaurau
3194,Henley School (Nelson),9,Q,8,P,-1,-1,0,544,Contributing,State,Tasman District,Tasman Region,Nelson,Nelson,Te Tai Tonga
2574,Henry Hill School,1,C,1,C,0,0,0,225,Contributing,State,Napier City,Hawkes Bay Region,Napier,Napier,Ikaroa-Rawhiti
1013,Herekino School,2,F,3,G,1,1,0,24,Full Primary,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
251,Heretaunga College,6,N,6,N,0,0,676,676,Secondary (Year 9-15),State,Upper Hutt City,Wellington Region,Wellington,Rimutaka,Ikaroa-Rawhiti
2575,Heretaunga Intermediate,2,E,1,C,-1,-2,0,179,Intermediate,State,Hastings District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
3749,Heriot School,8,P,10,Z,2,2,0,53,Contributing,State,Clutha District,Otago Region,Dunedin,Clutha-Southland,Te Tai Tonga
3373,Highfield School,7,O,7,O,0,0,0,288,Full Primary,State,Timaru District,Canterbury Region,Christchurch,Rangitata,Te Tai Tonga
2172,Highlands Intermediate,7,O,7,O,0,0,0,644,Intermediate,State,New Plymouth District,Taranaki Region,Whanganui,New Plymouth,Te Tai Hauauru
1737,Hikuai School,9,Q,8,P,-1,-1,0,56,Full Primary,State,Thames-Coromandel District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
1014,Hikurangi School,1,C,2,F,1,3,0,190,Full Primary,State,Whangarei District,Northland Region,Whangarei,Whangarei,Te Tai Tokerau
1738,Hikutaia School,4,L,5,M,1,1,0,92,Full Primary,State,Thames-Coromandel District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
138,Hillcrest High School,8,P,7,O,-1,-1,1551,1551,Secondary (Year 9-15),State,Hamilton City,Waikato Region,Hamilton,Hamilton East,Hauraki-Waikato
1739,Hillcrest Normal School,9,Q,8,P,-1,-1,0,592,Contributing,State,Hamilton City,Waikato Region,Hamilton,Hamilton East,Hauraki-Waikato
2856,Hillcrest School (Pahiatua),2,F,2,D,0,-2,0,30,Full Primary,State,Tararua District,Manawatu-Wanganui Region,Wellington,Wairarapa,Ikaroa-Rawhiti
339,Hillmorton High School,5,M,4,L,-1,-1,577,728,Secondary (Year 7-15),State,Christchurch City,Canterbury Region,Christchurch,Wigram,Te Tai Tonga
1312,Hillpark School,6,N,4,L,-2,-2,0,500,Contributing,State,Auckland- Manurewa,Auckland Region,Auckland South,Manurewa,Tamaki Makaurau
1313,Hillsborough School,9,Q,8,P,-1,-1,0,392,Contributing,State,Auckland- Puketapapa,Auckland Region,Auckland South,Mt Roskill,Tamaki Makaurau
3935,Hillside Primary School,8,P,9,Q,1,1,0,28,Full Primary,State,Southland District,Southland Region,Invercargill,Clutha-Southland,Te Tai Tonga
1740,Hilltop School,8,P,9,Q,1,1,0,541,Full Primary,State,Taupo District,Waikato Region,Rotorua,Taupo,Waiariki
341,Hillview Christian School,6,N,7,O,1,1,93,530,Composite (Year 1-15),State: Integrated,Christchurch City,Canterbury Region,Christchurch,Port Hills,Te Tai Tonga
3375,Hinds School,9,Q,8,P,-1,-1,0,133,Full Primary,State,Ashburton District,Canterbury Region,Christchurch,Rangitata,Te Tai Tonga
588,Hingaia Peninsula School,9,Q,10,Z,1,1,0,133,Full Primary,State,Auckland- Papakura,Auckland Region,Auckland North,Papakura,Hauraki-Waikato
1741,Hinuera School,8,P,7,O,-1,-1,0,165,Contributing,State,Matamata-Piako District,Waikato Region,Hamilton,Waikato,Hauraki-Waikato
3195,Hira School,10,Z,10,Z,0,0,0,47,Contributing,State,Nelson City,Nelson Region,Nelson,Nelson,Te Tai Tonga
2578,Hiruharama School,1,A,2,D,1,3,0,106,Full Primary,State,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
2364,Hiwinui School,10,Z,9,Q,-1,-1,0,101,Full Primary,State,Manawatu District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
6788,Hobsonville Point Primary School,9,Q,10,Z,1,1,0,87,Full Primary,State,Auckland- Upper Harbour,Auckland Region,Auckland North,Upper Harbour,Te Tai Tokerau
6977,Hobsonville Point Secondary School,9,Q,10,Z,1,1,124,124,Secondary (Year 9-15),State,Auckland- Upper Harbour,Auckland Region,Auckland North,Upper Harbour,Te Tai Tokerau
1314,Hobsonville School,9,Q,7,O,-2,-2,0,628,Full Primary,State,Auckland- Upper Harbour,Auckland Region,Auckland North,Upper Harbour,Te Tai Tokerau
3376,Hokitika School,4,J,5,M,1,3,0,152,Contributing,State,Westland District,West Coast Region,Nelson,West Coast-Tasman,Te Tai Tonga
2365,Hokowhitu School,8,P,7,O,-1,-1,0,336,Contributing,State,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Palmerston North,Te Tai Hauauru
1316,Holy Cross Catholic School (Henderson),4,L,3,I,-1,-3,0,377,Full Primary,State: Integrated,Auckland- Henderson-Massey,Auckland Region,Auckland North,Te Atatu,Te Tai Tokerau
2904,Holy Cross School (Miramar),5,M,5,M,0,0,0,198,Full Primary,State: Integrated,Wellington City,Wellington Region,Wellington,Rongotai,Te Tai Tonga
1315,Holy Cross School (Papatoetoe),2,F,2,F,0,0,0,595,Full Primary,State: Integrated,Auckland- Otara-Papatoetoe,Auckland Region,Auckland South,Manukau East,Tamaki Makaurau
2859,Holy Family School (Porirua),1,C,1,C,0,0,0,184,Contributing,State: Integrated,Porirua City,Wellington Region,Wellington,Mana,Te Tai Hauauru
557,Holy Family School (Wanaka),10,Z,10,Z,0,0,0,123,Full Primary,State: Integrated,Queenstown-Lakes District,Otago Region,Dunedin,Waitaki,Te Tai Tonga
1317,Homai School,2,E,1,C,-1,-2,0,299,Contributing,State,Auckland- Manurewa,Auckland Region,Auckland South,Manurewa,Tamaki Makaurau
3379,Hoon Hay School,7,O,8,P,1,1,0,418,Contributing,State,Christchurch City,Canterbury Region,Christchurch,Wigram,Te Tai Tonga
3196,Hope School,10,Z,9,Q,-1,-1,0,92,Contributing,State,Tasman District,Tasman Region,Nelson,Nelson,Te Tai Tonga
1015,Hora Hora School (Te Mai),2,F,2,E,0,-1,0,372,Contributing,State,Whangarei District,Northland Region,Whangarei,Whangarei,Te Tai Tokerau
1744,Horahora School (Cambridge),10,Z,7,O,-3,-3,0,21,Full Primary,State,Waipa District,Waikato Region,Hamilton,Taupo,Te Tai Hauauru
1016,Horeke School,1,A,2,E,1,4,0,26,Contributing,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
338,Hornby High School,3,G,3,H,0,1,432,581,Secondary (Year 7-15),State,Christchurch City,Canterbury Region,Christchurch,Wigram,Te Tai Tonga
3380,Hornby Primary School,2,E,3,G,1,2,0,183,Contributing,State,Christchurch City,Canterbury Region,Christchurch,Wigram,Te Tai Tonga
1745,Horohoro School,3,G,2,F,-1,-1,0,61,Full Primary,State,Rotorua District,Waikato Region,Rotorua,Rotorua,Waiariki
3381,Hororata School,8,P,9,Q,1,1,0,51,Contributing,State,Selwyn District,Canterbury Region,Christchurch,Selwyn,Te Tai Tonga
1746,Horotiu School,3,H,3,I,0,1,0,231,Full Primary,State,Waikato District,Waikato Region,Hamilton,Taranaki-King Country,Hauraki-Waikato
236,Horowhenua College,3,I,3,H,0,-1,650,650,Secondary (Year 9-15),State,Horowhenua District,Manawatu-Wanganui Region,Wellington,Otaki,Te Tai Hauauru
1747,Horsham Downs School,10,Z,10,Z,0,0,0,312,Full Primary,State,Waikato District,Waikato Region,Hamilton,Hamilton West,Hauraki-Waikato
2861,Houghton Valley School,9,Q,10,Z,1,1,0,199,Contributing,State,Wellington City,Wellington Region,Wellington,Rongotai,Te Tai Tonga
87,Howick College,10,Z,8,P,-2,-2,1839,1839,Secondary (Year 9-15),State,Auckland- Howick,Auckland Region,Auckland South,Botany,Tamaki Makaurau
1318,Howick Intermediate,5,M,4,K,-1,-2,0,379,Intermediate,State,Auckland- Howick,Auckland Region,Auckland South,Pakuranga,Tamaki Makaurau
