Decile Change 2014 to 2015 for State & State Integrated Schools,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Inst #,School Name,2014 Decile,"2014Step",2015 Decile,"2015 Step",Decile Change,Step Change,"July 2014 Funding rollYears 9+","July 2014 Funding rollTotal ",School Type,Authority,Territorial Local Authority,Regional Council,Ministry of Education Local Office,General Electorate,M_ori Electorate
482,Aquinas College,9,Q,8,P,-1,-1,543,763,Secondary (Year 7-15),State: Integrated,Tauranga City,Bay of Plenty Region,Rotorua,Tauranga,Waiariki
1206,Arahoe School,5,M,5,M,0,0,0,709,Contributing,State,Auckland- Whau,Auckland Region,Auckland North,New Lynn,Tamaki Makaurau
2334,Arahunga School,4,J,3,I,-1,-1,24,50,Special School,State,Wanganui District,Manawatu-Wanganui Region,Whanganui,Whanganui,Te Tai Hauauru
2802,Arakura School,3,H,2,F,-1,-2,0,189,Contributing,State,Lower Hutt City,Wellington Region,Wellington,Hutt South,Ikaroa-Rawhiti
2335,Aramoho School,1,C,2,D,1,1,0,41,Full Primary,State,Wanganui District,Manawatu-Wanganui Region,Whanganui,Whanganui,Te Tai Hauauru
1001,Aranga School,4,K,4,J,0,-1,0,28,Full Primary,State,Kaipara District,Northland Region,Whangarei,Northland,Te Tai Tokerau
323,Aranui High School,2,D,2,D,0,0,346,346,Secondary (Year 9-15),State,Christchurch City,Canterbury Region,Christchurch,Christchurch East,Te Tai Tonga
3279,Aranui School (Christchurch),1,A,1,B,0,1,0,157,Full Primary,State,Christchurch City,Canterbury Region,Christchurch,Christchurch East,Te Tai Tonga
2336,Aranui School (Wanganui),1,B,1,C,0,1,0,102,Contributing,State,Wanganui District,Manawatu-Wanganui Region,Whanganui,Whanganui,Te Tai Hauauru
1002,Arapohue School,3,I,7,O,4,6,0,12,Full Primary,State,Kaipara District,Northland Region,Whangarei,Northland,Te Tai Tokerau
1207,Ararimu School,10,Z,10,Z,0,0,0,141,Full Primary,State,Auckland- Franklin,Auckland Region,Auckland South,Hunua,Hauraki-Waikato
1686,Arataki School,2,F,3,I,1,3,0,341,Contributing,State,Tauranga City,Bay of Plenty Region,Rotorua,Bay of Plenty,Waiariki
3704,Ardgowan School,7,O,6,N,-1,-1,0,122,Full Primary,State,Waitaki District,Otago Region,Dunedin,Waitaki,Te Tai Tonga
1208,Ardmore School,6,N,4,L,-2,-2,0,352,Full Primary,State,Auckland- Franklin,Auckland Region,Auckland South,Papakura,Hauraki-Waikato
2542,Argyll East School,4,L,5,M,1,1,0,64,Full Primary,State,Central Hawke's Bay District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
1687,Aria School,5,M,5,M,0,0,0,51,Contributing,State,Waitomo District,Waikato Region,Hamilton,Taranaki-King Country,Te Tai Hauauru
1209,Arohanui Special School,5,M,4,K,-1,-2,60,144,Special School,State,Auckland- Henderson-Massey,Auckland Region,Auckland North,Te Atatu,Te Tai Tokerau
1688,Arohena School,6,N,7,O,1,1,0,39,Full Primary,State,Otorohanga District,Waikato Region,Hamilton,Taranaki-King Country,Te Tai Hauauru
3280,Arowhenua Maori School,4,L,4,K,0,-1,0,25,Full Primary,State,Timaru District,Canterbury Region,Christchurch,Rangitata,Te Tai Tonga
3930,Arrowtown School,10,Z,10,Z,0,0,0,485,Full Primary,State,Queenstown-Lakes District,Otago Region,Dunedin,Clutha-Southland,Te Tai Tonga
2543,Arthur Miller School,8,P,7,O,-1,-1,0,315,Contributing,State,Napier City,Hawkes Bay Region,Napier,Napier,Ikaroa-Rawhiti
3706,Arthur Street School,8,P,6,N,-2,-2,0,119,Full Primary,State,Dunedin City,Otago Region,Dunedin,Dunedin North,Te Tai Tonga
1625,Ascot Community School,3,I,3,H,0,-1,0,193,Full Primary,State,Invercargill City,Southland Region,Invercargill,Invercargill,Te Tai Tonga
1689,Ashbrook School,1,B,1,B,0,0,0,143,Full Primary,State,Opotiki District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
3281,Ashburton Borough School,7,O,7,O,0,0,0,368,Full Primary,State,Ashburton District,Canterbury Region,Christchurch,Rangitata,Te Tai Tonga
608,Ashburton Christian School,7,O,6,N,-1,-1,18,95,Composite (Year 1-15),State: Integrated,Ashburton District,Canterbury Region,Christchurch,Rangitata,Te Tai Tonga
351,Ashburton College,7,O,6,N,-1,-1,1168,1168,Secondary (Year 9-15),State,Ashburton District,Canterbury Region,Christchurch,Rangitata,Te Tai Tonga
3282,Ashburton Intermediate,6,N,6,N,0,0,0,367,Intermediate,State,Ashburton District,Canterbury Region,Christchurch,Rangitata,Te Tai Tonga
3283,Ashburton Netherby School,3,I,3,I,0,0,0,128,Contributing,State,Ashburton District,Canterbury Region,Christchurch,Rangitata,Te Tai Tonga
3284,Ashgrove School,9,Q,9,Q,0,0,0,538,Full Primary,State,Waimakariri District,Canterbury Region,Christchurch,Waimakariri,Te Tai Tonga
2337,Ashhurst School,7,O,7,O,0,0,0,397,Full Primary,State,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
3285,Ashley School,9,Q,10,Z,1,1,0,175,Full Primary,State,Waimakariri District,Canterbury Region,Christchurch,Kaikoura,Te Tai Tonga
53,Auckland Girls' Grammar School,5,M,3,H,-2,-5,1370,1370,Secondary (Year 9-15),State,Auckland- Waitemata,Auckland Region,Auckland South,Auckland Central,Tamaki Makaurau
54,Auckland Grammar,10,Z,9,Q,-1,-1,2447,2447,Secondary (Year 9-15),State,Auckland- Albert-Eden,Auckland Region,Auckland South,Epsom,Tamaki Makaurau
1211,Auckland Normal Intermediate,9,Q,9,Q,0,0,0,712,Intermediate,State,Auckland- Albert-Eden,Auckland Region,Auckland South,Epsom,Tamaki Makaurau
3181,Auckland Point School,5,M,4,J,-1,-3,0,74,Contributing,State,Nelson City,Nelson Region,Nelson,Nelson,Te Tai Tonga
93,Auckland Seventh-Day Adventist H S,2,E,1,C,-1,-2,206,206,Secondary (Year 9-15),State: Integrated,Auckland- Mangere-Otahuhu,Auckland Region,Auckland South,Mangere,Tamaki Makaurau
2152,Auroa School,8,P,8,P,0,0,0,191,Full Primary,State,South Taranaki District,Taranaki Region,Whanganui,Whanganui,Te Tai Hauauru
548,Aurora College,2,E,2,E,0,0,249,356,Secondary (Year 7-15),State,Invercargill City,Southland Region,Invercargill,Invercargill,Te Tai Tonga
3031,Avalon Intermediate,2,E,2,E,0,0,0,163,Intermediate,State,Lower Hutt City,Wellington Region,Wellington,Rimutaka,Ikaroa-Rawhiti
2803,Avalon School,2,F,2,F,0,0,0,188,Contributing,State,Lower Hutt City,Wellington Region,Wellington,Rimutaka,Ikaroa-Rawhiti
2153,Avon School,1,B,3,I,2,7,0,56,Full Primary,State,Stratford District,Taranaki Region,Whanganui,Whanganui,Te Tai Hauauru
78,Avondale College,4,L,4,J,0,-2,2504,2504,Secondary (Year 9-15),State,Auckland- Whau,Auckland Region,Auckland South,Kelston,Tamaki Makaurau
1212,Avondale Intermediate,3,H,2,E,-1,-3,0,300,Intermediate,State,Auckland- Whau,Auckland Region,Auckland South,Kelston,Tamaki Makaurau
