family,stem
F,204
T,249
G,205
Y,213
M,215
Z,168
O,197
B,234
A,160
D,175
A,215
C,181
D,208
B,207
C,215
A,165
D,185
D,175
B,181
C,225
D,221
B,197
D,210
C,221
A,180
C,205
B,214
A,181
D,175
A,210
B,170
C,112
A,222
C,182
D,187
D,175
C,193
B,213
A,190
D,191
C,162
D,178
B,200
C,212
A,148
A,196
B,180
C,160
D,206
C,194
A,216
B,160
B,182
A,241
C,205
D,205
B,195
A,146
C,214
D,181
A,166
C,166
B,196
C,195
B,191
A,171
D,133
C,143
D,217
B,176
A,190
Y,186
M,189
U,230
L,191
H,170
W,179
B,177
J,190
T,196
C,190
F,174
K,214
N,158
Q,206
E,212
P,209
X,223
S,205
Z,184
V,203
B,222
C,196
D,184
A,167
D,202
A,175
C,174
B,227
D,215
C,221
C,190
D,141
B,172
D,176
A,180
B,179
D,243
A,217
C,208
B,185
C,206
A,217
C,188
D,188
A,230
A,185
D,200
C,186
D,142
B,230
C,207
C,180
A,193
B,225
D,185
A,207
C,188
A,170
C,188
D,213
D,205
C,166
A,223
B,206
B,175
A,198
C,160
D,182
B,181
D,166
C,163
A,184
C,180
A,149
B,154
D,193
B,181
A,251
C,248
D,197
C,229
D,174
B,198
A,218
E,166
W,177
C,178
P,207
K,130
R,172
D,170
F,238
O,161
I,238
X,244
Y,150
N,178
Z,177
U,175
A,197
J,109
B,225
L,218
M,163
V,151
S,190
Q,137
D,204
B,181
C,195
A,187
C,145
D,206
B,241
A,195
D,247
A,181
C,228
C,217
D,283
B,223
D,181
C,170
B,200
A,193
C,173
A,187
B,170
C,159
A,167
A,210
C,178
D,214
C,158
A,215
B,185
C,201
D,194
A,198
D,136
B,202
C,215
C,161
D,244
B,261
A,201
B,191
A,197
C,260
D,200
D,217
C,208
B,160
C,196
B,203
A,199
D,184
B,192
D,174
A,202
C,165
B,198
D,174
A,175
C,158
B,188
A,174
C,118
D,145
B,203
D,207
A,221
A,206
D,185
B,215
C,182
M,232
V,227
G,222
O,183
X,192
N,180
C,189
E,193
A,224
H,215
F,228
Y,215
Q,215
P,247
S,220
Z,209
T,186
K,196
D,242
U,186
L,215
I,177
B,203
W,197
J,200
A,161
C,195
D,177
B,173
A,188
B,157
C,188
D,206
D,170
C,166
A,195
C,210
B,230
D,151
B,221
D,165
A,213
C,205
D,204
A,185
C,198
A,188
C,203
B,172
A,177
D,205
C,162
C,174
A,208
B,167
A,211
D,191
C,208
C,221
D,173
B,211
C,172
A,186
B,199
D,172
B,179
C,186
D,187
A,269
B,156
D,186
A,182
C,167
D,183
A,158
B,164
B,191
A,177
C,161
A,166
B,200
D,182
C,191
B,237
A,182
B,221
D,215
C,137
C,211
D,170
A,216
B,187
E,177
H,225
V,234
C,201
R,187
L,211
P,177
I,157
Z,155
D,200
S,207
X,225
F,193
N,180
O,173
Q,170
W,174
K,201
M,188
T,199
J,179
Y,227
U,212
A,140
C,195
B,163
D,170
C,173
D,206
A,222
B,187
C,175
D,164
C,179
B,237
D,222
A,175
D,233
B,140
C,215
C,196
A,217
D,209
B,170
C,201
A,195
D,197
C,207
A,206
B,211
C,187
A,197
A,234
C,173
D,173
C,159
B,164
D,154
A,205
C,222
B,202
A,202
D,187
B,178
C,165
D,188
A,188
C,164
B,198
C,232
A,197
D,243
D,226
C,198
B,188
B,207
D,172
C,161
A,203
A,151
B,200
D,165
D,185
A,187
C,191
B,211
C,245
D,178
A,213
Y,242
O,226
C,246
H,182
W,190
Z,193
S,183
F,216
X,177
A,200
Q,199
I,208
B,125
N,192
K,224
J,183
L,253
V,204
T,204
M,192
U,185
P,192
D,175
E,205
B,156
D,157
C,213
A,163
C,213
A,227
B,198
D,168
D,174
C,192
A,245
B,211
C,191
D,206
D,202
C,193
B,172
D,191
C,138
B,162
A,191
C,168
C,181
A,201
D,178
C,163
B,160
A,168
C,170
D,200
C,246
D,179
B,193
D,114
C,193
A,191
D,159
B,172
A,186
C,172
D,211
A,158
B,180
C,145
B,187
A,250
D,237
D,167
C,224
B,200
D,201
C,164
B,180
A,220
D,219
C,194
B,163
A,201
D,161
B,205
A,194
D,211
A,225
B,212
C,182
C,178
H,209
P,189
A,177
Z,148
X,225
S,178
U,183
Q,210
R,187
L,221
Y,190
I,190
K,164
J,192
N,163
T,160
D,200
M,178
V,213
W,165
E,183
F,140
O,178
B,170
D,181
B,193
C,196
A,186
B,196
C,181
A,193
D,172
A,170
C,220
D,220
C,177
B,136
B,212
C,176
A,174
D,186
C,135
A,193
B,220
A,232
C,189
A,147
C,193
A,161
B,125
C,178
A,153
C,170
D,184
D,175
B,183
C,178
B,165
A,170
D,163
B,177
C,167
D,207
A,181
B,171
D,172
C,192
D,166
B,177
A,174
C,203
B,161
D,187
B,163
C,181
D,192
C,184
D,202
A,167
A,189
B,130
D,235
C,193
A,175
D,181
B,170
C,157
J,176
S,224
M,211
D,231
B,186
Q,142
R,210
K,210
F,172
A,170
W,198
T,212
V,188
G,190
X,194
I,180
Z,196
L,211
P,194
N,213
C,195
U,170
O,149
C,168
B,201
D,164
A,187
D,147
C,175
A,188
B,198
D,183
B,191
D,190
D,196
A,172
B,208
D,197
A,146
C,213
B,171
